Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4060838,1208,9
PART,1,4064405,1620,16
PART,2,3838567,3074,19
PART,3,3670460,304,4
PART,4,6534054,1949,29
PART,5,4662135,2367,19
PART,6,3990351,1309,8
PART,7,4928973,268,5
PART,8,4329351,9957,31
PART,9,6512541,7061,11
PART,0,4060027,1177,9
PART,1,4078162,1478,16
PART,2,3778892,1789,19
PART,3,3669432,284,4
PART,4,6508081,1626,29
PART,5,4658811,2301,19
PART,6,3941946,5096,8
PART,7,4928865,274,5
PART,8,4327703,9933,31
PART,9,6508108,6729,11
PART,0,4060135,1165,9
PART,1,4059270,1392,16
PART,2,3864567,1791,19
PART,3,3669297,285,4
PART,4,6508000,1615,29
PART,5,4656216,2291,19
PART,6,3941243,5091,8
PART,7,4928919,269,5
PART,8,4328162,9932,31
PART,9,6507460,6724,11
PART,0,4060864,1163,9
PART,1,4063000,1426,16
PART,2,3779838,1784,19
PART,3,3669595,285,4
PART,4,6506757,1622,29
PART,5,4655298,2293,19
PART,6,3941297,5096,8
PART,7,4928297,270,5
PART,8,4328163,9936,31
PART,9,6507324,6728,11
PART,0,4060054,1160,9
PART,1,4041513,1429,16
PART,2,3778568,1785,19
PART,3,3669540,285,4
PART,4,6506757,1611,29
PART,5,4655163,2290,19
PART,6,3941919,5088,8
PART,7,4928190,268,5
PART,8,4327973,9937,31
PART,9,6507432,6729,11
PART,0,4061298,1159,9
PART,1,4041217,1425,16
PART,2,3777703,1778,19
PART,3,3669568,287,4
PART,4,6508000,1617,29
PART,5,4656487,2291,19
PART,6,3941459,5084,8
PART,7,4928460,268,5
PART,8,4328027,9933,31
PART,9,6508243,6728,11
PART,0,4061081,1162,9
PART,1,4048487,1436,16
PART,2,3778487,1780,19
PART,3,3669676,286,4
PART,4,6507486,1612,29
PART,5,4656568,2292,19
PART,6,3941973,5094,8
PART,7,4928514,268,5
PART,8,4328243,9936,31
PART,9,6507054,6712,11
PART,0,4061919,1166,9
PART,1,4059784,1432,16
PART,2,3863000,1790,19
PART,3,3669703,283,4
PART,4,6507163,1613,29
PART,5,4654162,2279,19
PART,6,3942298,5093,8
PART,7,4928703,268,5
PART,8,4327649,9939,31
PART,9,6507919,6728,11
PART,0,4060487,1164,9
PART,1,4046703,1409,16
PART,2,3778649,1773,19
PART,3,3669649,285,4
PART,4,6506406,1614,29
PART,5,4657730,2296,19
PART,6,3942324,5081,8
PART,7,4928649,268,5
PART,8,4328405,9932,31
PART,9,6508892,6727,11
PART,0,4060487,1162,9
PART,1,4044676,1429,16
PART,2,3779000,1783,19
PART,3,3670189,286,4
PART,4,6505892,1611,29
PART,5,4656298,2291,19
PART,6,3942244,5088,8
PART,7,4928703,268,5
PART,8,4327973,9938,31
PART,9,6508351,6729,11
PART,0,4060379,1159,9
PART,1,4062568,1428,16
PART,2,3779432,1788,19
PART,3,3669649,284,4
PART,4,6506703,1609,29
PART,5,4654919,2284,19
PART,6,3941108,5095,8
PART,7,4928486,269,5
PART,8,4328081,9939,31
PART,9,6506811,6725,11
PART,0,4061729,1161,9
PART,1,4045027,1422,16
PART,2,3778649,1777,19
PART,3,3671838,285,4
PART,4,6507513,1610,29
PART,5,4655162,2295,19
PART,6,3942054,5092,8
PART,7,4928676,269,5
PART,8,4327919,9939,31
PART,9,6507027,6728,11
PART,0,4061838,1165,9
PART,1,4044244,1402,16
PART,2,3779243,1774,19
PART,3,3669730,283,4
PART,4,6507324,1608,29
PART,5,4657486,2288,19
PART,6,3943567,5098,8
PART,7,4928892,269,5
PART,8,4327973,9938,31
PART,9,6507729,6728,11
PART,0,4061838,1161,9
PART,1,4055756,1432,16
PART,2,3779405,1779,19
PART,3,3669351,286,4
PART,4,6506919,1608,29
PART,5,4657460,2296,19
PART,6,3946784,5107,8
PART,7,4928730,266,5
PART,8,4328297,9939,31
PART,9,6507487,6729,11
PART,0,4060648,1162,9
PART,1,4076189,1429,16
PART,2,3780379,1787,19
PART,3,3669811,282,5
PART,4,6505919,1606,29
PART,5,4657243,2294,19
PART,6,3952297,5096,8
PART,7,4928973,276,5
PART,8,4327675,9939,31
PART,9,6507217,6726,11
PART,0,4061946,1158,9
PART,1,4065622,1426,16
PART,2,3780027,1784,19
PART,3,3669757,280,4
PART,4,6506243,1605,29
PART,5,4654513,2288,19
PART,6,3953892,5086,8
PART,7,4929000,269,5
PART,8,4328108,9940,31
PART,9,6507595,6724,11
PART,0,4062082,1162,9
PART,1,4063081,1429,16
PART,2,3863405,1781,19
PART,3,3670244,286,4
PART,4,6507622,1609,29
PART,5,4656162,2300,19
PART,6,3954541,5097,8
PART,7,4928973,266,5
PART,8,4327703,9939,31
PART,9,6507676,6729,11
PART,0,4060757,1165,9
PART,1,4043270,1427,16
PART,2,3781081,1795,19
PART,3,3670757,283,4
PART,4,6505730,1605,29
PART,5,4656487,2286,19
PART,6,3954432,5082,8
PART,7,4929000,268,5
PART,8,4327919,9939,31
PART,9,6507973,6724,11
PART,0,4060486,1165,9
PART,1,4062000,1434,16
PART,2,3778540,1782,19
PART,3,3669567,283,4
PART,4,6509460,1608,29
PART,5,4658378,2292,19
PART,6,3954594,5094,8
PART,7,4928838,269,5
PART,8,4328162,9940,31
PART,9,6509000,6726,11
PART,0,4059378,1163,9
PART,1,4060351,1439,16
PART,2,3779081,1791,19
PART,3,3669594,284,4
PART,4,6506243,1611,29
PART,5,4657162,2291,19
PART,6,3955216,5089,8
PART,7,4929189,270,5
PART,8,4328108,9939,31
PART,9,6508676,6725,11
PART,0,4061270,1162,9
PART,1,4062108,1434,16
PART,2,3864649,1777,19
PART,3,3665433,284,4
PART,4,6507216,1612,29
PART,5,4655730,2295,19
PART,6,3954324,5096,8
PART,7,4928649,266,5
PART,8,4327865,9939,31
PART,9,6507054,6725,11
PART,0,4061325,1162,9
PART,1,4057648,1383,16
PART,2,3861919,1772,19
PART,3,3669702,286,4
PART,4,6506216,1610,29
PART,5,4656946,2295,19
PART,6,3954703,5093,8
PART,7,4929297,268,5
PART,8,4327865,9939,31
PART,9,6506325,6725,11
PART,0,4061081,1162,9
PART,1,4059027,1428,16
PART,2,3779054,1777,19
PART,3,3672595,285,4
PART,4,6507324,1617,29
PART,5,4657432,2296,19
PART,6,3955379,5098,8
PART,7,4928811,266,5
PART,8,4327973,9939,31
PART,9,6507081,6729,11
PART,0,4060649,1163,9
PART,1,4069756,1428,16
PART,2,3778513,1775,19
PART,3,3669675,284,4
PART,4,6506325,1614,29
PART,5,4655811,2290,19
PART,6,3954702,5095,8
PART,7,4928892,268,5
PART,8,4328162,9939,31
PART,9,6509676,6727,11
PART,0,4059703,1161,9
PART,1,4056270,1430,16
PART,2,3779054,1772,19
PART,3,3669514,286,4
PART,4,6506892,1614,29
PART,5,4657027,2300,19
PART,6,3955189,5101,8
PART,7,4928649,268,5
PART,8,4328270,9937,31
PART,9,6508460,6729,11
PART,0,4060487,1163,9
PART,1,4044324,1412,16
PART,2,3779000,1778,19
PART,3,3666703,287,4
PART,4,6507649,1615,29
PART,5,4658864,2294,19
PART,6,3954973,5083,8
PART,7,4928648,269,5
PART,8,4328567,9935,31
PART,9,6508324,6727,11
PART,0,4060703,1162,9
PART,1,4043892,1424,16
PART,2,3780243,1781,19
PART,3,3669513,286,4
PART,4,6507622,1609,29
PART,5,4655946,2298,19
PART,6,3955324,5082,8
PART,7,4928487,269,5
PART,8,4328135,9936,31
PART,9,6507973,6725,11
PART,0,4062973,1163,9
PART,1,4077811,1433,16
PART,2,3779541,1774,19
PART,3,3669567,286,4
PART,4,6510270,1615,29
PART,5,4655514,2297,19
PART,6,3954567,5091,8
PART,7,4928460,268,5
PART,8,4328054,9937,31
PART,9,6507325,6729,11
PART,0,4061378,1159,9
PART,1,4042514,1422,16
PART,2,3780054,1775,19
PART,3,3669703,286,4
PART,4,6508324,1617,29
PART,5,4657243,2294,19
PART,6,3955054,5089,8
PART,7,4928648,268,5
PART,8,4328027,9936,31
PART,9,6507162,6727,11
PART,0,4060271,1160,9
PART,1,4038189,1423,16
PART,2,3780081,1777,19
PART,3,3669730,286,4
PART,4,6507324,1616,29
PART,5,4658622,2294,19
PART,6,3954784,5094,8
PART,7,4928054,269,5
PART,8,4328135,9934,31
PART,9,6506892,6728,11
PART,0,4059730,1163,9
PART,1,4042432,1389,16
PART,2,3779108,1785,19
PART,3,3669541,285,4
PART,4,6508865,1610,29
PART,5,4656622,2292,19
PART,6,3955216,5087,8
PART,7,4928811,269,5
PART,8,4328054,9935,31
PART,9,6507244,6727,11
PART,0,4062027,1162,9
PART,1,4042730,1426,16
PART,2,3863487,1774,19
PART,3,3669460,286,4
PART,4,6508351,1610,29
PART,5,4654838,2291,19
PART,6,3954919,5091,8
PART,7,4928622,269,5
PART,8,4327811,9939,31
PART,9,6506892,6728,11
PART,0,4061298,1164,9
PART,1,4044297,1429,16
PART,2,3778297,1762,19
PART,3,3669757,285,4
PART,4,6506297,1609,29
PART,5,4658351,2299,19
PART,6,3954946,5086,8
PART,7,4929162,274,5
PART,8,4327973,9939,31
PART,9,6508351,6708,11
PART,0,4060757,1161,9
PART,1,4042865,1429,16
PART,2,3779027,1780,19
PART,3,3667108,285,4
PART,4,6505784,1607,29
PART,5,4657703,2284,19
PART,6,3955135,5091,8
PART,7,4928973,270,5
PART,8,4327810,9939,31
PART,9,6508189,6729,11
PART,0,4060108,1162,9
PART,1,4055946,1427,16
PART,2,3862865,1782,19
PART,3,3669730,282,4
PART,4,6507108,1605,29
PART,5,4657540,2287,19
PART,6,3954757,5088,8
PART,7,4928676,266,5
PART,8,4328027,9939,31
PART,9,6507838,6728,11
PART,0,4061783,1163,9
PART,1,4041487,1403,16
PART,2,3864135,1782,19
PART,3,3669459,287,4
PART,4,6505190,1604,29
PART,5,4657325,2290,19
PART,6,3954352,5097,8
PART,7,4928271,271,5
PART,8,4327973,9938,31
PART,9,6508649,6728,11
PART,0,4059730,1162,9
PART,1,4061811,1426,16
PART,2,3864433,1783,19
PART,3,3669676,289,4
PART,4,6508891,1611,29
PART,5,4656459,2286,19
PART,6,3954811,5090,8
PART,7,4928243,268,5
PART,8,4327973,9938,31
PART,9,6506865,6728,11
PART,0,4062054,1162,9
PART,1,4043243,1439,16
PART,2,3778324,1778,19
PART,3,3669919,285,4
PART,4,6504378,1602,29
PART,5,4656297,2291,19
PART,6,3954514,5093,8
PART,7,4928757,267,5
PART,8,4327865,9939,31
PART,9,6506460,6727,11
PART,0,4061081,1162,9
PART,1,4042622,1439,16
PART,2,3779216,1774,19
PART,3,3669513,285,4
PART,4,6506703,1612,29
PART,5,4657324,2292,19
PART,6,3955351,5084,8
PART,7,4929108,273,5
PART,8,4327919,9939,31
PART,9,6507595,6729,11
PART,0,4060622,1162,9
PART,1,4042892,1436,16
PART,2,3862324,1778,19
PART,3,3669730,285,4
PART,4,6506622,1613,29
PART,5,4656000,2290,19
PART,6,3954648,5095,8
PART,7,4928892,268,5
PART,8,4328108,9936,31
PART,9,6507351,6727,11
PART,0,4060730,1160,9
PART,1,4061081,1410,16
PART,2,3778703,1758,19
PART,3,3669757,288,4
PART,4,6506000,1611,29
PART,5,4656270,2287,19
PART,6,3955162,5085,8
PART,7,4928108,269,5
PART,8,4328351,9934,31
PART,9,6507487,6727,11
PART,0,4060325,1164,9
PART,1,4045433,1434,16
PART,2,3863379,1766,19
PART,3,3671000,284,4
PART,4,6508027,1611,29
PART,5,4658082,2294,19
PART,6,3954406,5092,8
PART,7,4929243,269,5
PART,8,4328162,9935,31
PART,9,6508297,6727,11
PART,0,4060163,1163,9
PART,1,4061405,1390,16
PART,2,3863946,1776,19
PART,3,3665621,283,4
PART,4,6508379,1616,29
PART,5,4657811,2293,19
PART,6,3954486,5090,8
PART,7,4928676,269,5
PART,8,4327784,9939,31
PART,9,6507622,6712,11
PART,0,4062811,1163,9
PART,1,4064460,1396,16
PART,2,3778864,1773,19
PART,3,3669811,283,4
PART,4,6504892,1608,29
PART,5,4657082,2296,19
PART,6,3954649,5096,8
PART,7,4928487,268,5
PART,8,4327946,9938,31
PART,9,6507487,6728,11
PART,0,4061703,1163,9
PART,1,4058108,1426,16
PART,2,3778676,1770,19
PART,3,3669838,285,4
PART,4,6506324,1610,29
PART,5,4655244,2287,19
PART,6,3955081,5099,8
PART,7,4928324,269,5
PART,8,4327946,9938,31
PART,9,6508189,6727,11
PART,0,4062270,1167,9
PART,1,4042351,1430,16
PART,2,3779864,1774,19
PART,3,3669405,285,4
PART,4,6508000,1609,29
PART,5,4654892,2283,19
PART,6,3916757,5095,8
PART,7,4928810,270,5
PART,8,4328243,9939,31
PART,9,6507162,6724,11
PART,0,4067108,1163,9
PART,1,4059486,1429,16
PART,2,3779460,1773,19
PART,3,3669703,286,4
PART,4,6506918,1609,29
PART,5,4656460,2287,19
PART,6,3869595,5079,8
PART,7,4929027,272,5
PART,8,4327919,9939,31
PART,9,6507271,6726,11
PART,0,4061892,1161,9
PART,1,4077460,1427,16
PART,2,3778459,1768,19
PART,3,3665433,284,4
PART,4,6507352,1617,29
PART,5,4655378,2278,19
PART,6,3869487,5081,8
PART,7,4928621,270,5
PART,8,4327757,9939,31
PART,9,6509216,6727,11
PART,0,4063540,1164,9
PART,1,4059135,1435,16
PART,2,3862757,1752,19
PART,3,3669730,284,4
PART,4,6506730,1611,29
PART,5,4656513,2296,19
PART,6,3868648,5071,8
PART,7,4929135,267,5
PART,8,4327757,9934,31
PART,9,6507973,6727,11
PART,0,4060514,1163,9
PART,1,4044162,1412,16
PART,2,3862595,1778,19
PART,3,3670649,286,4
PART,4,6505757,1605,29
PART,5,4660244,2296,19
PART,6,3868540,5079,8
PART,7,4928864,268,5
PART,8,4328027,9938,31
PART,9,6508270,6728,11
PART,0,4060405,1167,9
PART,1,4046919,1428,16
PART,2,3778838,1773,19
PART,3,3669730,284,4
PART,4,6506216,1610,29
PART,5,4657973,2290,19
PART,6,3869000,5074,8
PART,7,4928487,268,5
PART,8,4328270,9937,31
PART,9,6508541,6724,11
PART,0,4060432,1162,9
PART,1,4041594,1432,16
PART,2,3779135,1779,19
PART,3,3669324,286,4
PART,4,6507567,1610,29
PART,5,4655514,2290,19
PART,6,3868486,5070,8
PART,7,4928784,271,5
PART,8,4328298,9935,31
PART,9,6507108,6708,11
PART,0,4062351,1159,9
PART,1,4041973,1424,16
PART,2,3779946,1780,19
PART,3,3665757,289,4
PART,4,6506405,1617,29
PART,5,4657136,2286,19
PART,6,3869270,5078,8
PART,7,4928729,269,5
PART,8,4328027,9936,31
PART,9,6508027,6717,11
PART,0,4062297,1163,9
PART,1,4056892,1390,16
PART,2,3779811,1773,19
PART,3,3669324,288,4
PART,4,6506243,1608,29
PART,5,4658568,2293,19
PART,6,3868540,5086,8
PART,7,4928865,268,5
PART,8,4327892,9936,31
PART,9,6506459,6711,11
PART,0,4062676,1160,9
PART,1,4061865,1427,16
PART,2,3779919,1766,19
PART,3,3669757,289,4
PART,4,6508000,1611,29
PART,5,4654216,2295,19
PART,6,3869054,5080,8
PART,7,4928729,269,5
PART,8,4328271,9933,31
PART,9,6507946,6711,11
PART,0,4061838,1163,9
PART,1,4059054,1426,16
PART,2,3778459,1765,19
PART,3,3669918,287,4
PART,4,6506568,1603,29
PART,5,4657675,2299,19
PART,6,3868541,5073,8
PART,7,4929027,269,5
PART,8,4328108,9935,31
PART,9,6506973,6718,11
PART,0,4059675,1163,9
PART,1,4071325,1429,16
PART,2,3776865,1748,19
PART,3,3665487,284,4
PART,4,6506513,1612,29
PART,5,4662054,2297,19
PART,6,3868514,5083,8
PART,7,4928649,268,5
PART,8,4328351,9939,31
PART,9,6507325,6723,11
PART,0,4060433,1164,9
PART,1,4040676,1399,16
PART,2,3779892,1762,19
PART,3,3669730,284,4
PART,4,6507297,1609,29
PART,5,4658270,2287,19
PART,6,3869514,5081,8
PART,7,4928837,268,5
PART,8,4328190,9939,31
PART,9,6508514,6698,11
PART,0,4060162,1164,9
PART,1,4040270,1441,16
PART,2,3777324,1755,19
PART,3,3669567,287,4
PART,4,6507730,1612,29
PART,5,4657838,2289,19
PART,6,3868162,5073,8
PART,7,4928784,269,5
PART,8,4328190,9939,31
PART,9,6507244,6679,11
PART,0,4059379,1166,9
PART,1,4060244,1433,16
PART,2,3777973,1765,19
PART,3,3670432,283,4
PART,4,6506513,1607,29
PART,5,4657595,2292,19
PART,6,3868027,5081,8
PART,7,4928378,266,5
PART,8,4327892,9939,31
PART,9,6506864,6689,11
PART,0,4062405,1173,9
PART,1,4065325,1395,16
PART,2,3778865,1764,19
PART,3,3669730,284,4
PART,4,6507486,1610,29
PART,5,4658216,2291,19
PART,6,3869216,5076,8
PART,7,4928162,269,5
PART,8,4328000,9938,31
PART,9,6506838,6668,11
PART,0,4061270,1178,9
PART,1,4062729,1439,16
PART,2,3863378,1775,19
PART,3,3669892,287,4
PART,4,6506135,1606,29
PART,5,4656217,2294,19
PART,6,3868568,5084,8
PART,7,4928541,268,5
PART,8,4327649,9935,31
PART,9,6506460,6657,11
PART,0,4060460,1172,9
PART,1,4048081,1445,16
PART,2,3778811,1763,19
PART,3,3669459,283,4
PART,4,6506378,1617,29
PART,5,4657622,2288,19
PART,6,3868270,5083,8
PART,7,4928486,268,5
PART,8,4327973,9939,31
PART,9,6506783,6649,11
PART,0,4062675,1178,9
PART,1,4043811,1448,16
PART,2,3779378,1760,19
PART,3,3669784,285,4
PART,4,6507649,1613,29
PART,5,4655865,2299,19
PART,6,3869000,5074,8
PART,7,4928973,274,5
PART,8,4327946,9939,31
PART,9,6505892,6649,11
PART,0,4061298,1178,9
PART,1,4041919,1444,16
PART,2,3863297,1753,19
PART,3,3669757,283,4
PART,4,6506514,1609,29
PART,5,4656189,2296,19
PART,6,3869487,5076,8
PART,7,4928811,268,5
PART,8,4328000,9936,31
PART,9,6505946,6659,12
PART,0,4061621,1180,9
PART,1,4045379,1451,16
PART,2,3779865,1771,19
PART,3,3665568,287,4
PART,4,6505486,1609,29
PART,5,4656000,2293,19
PART,6,3868837,5078,8
PART,7,4928702,271,5
PART,8,4328378,9936,31
PART,9,6507622,6678,11
PART,0,4061189,1179,9
PART,1,4038270,1445,16
PART,2,3777784,1767,19
PART,3,3669541,288,4
PART,4,6507351,1614,29
PART,5,4658649,2296,19
PART,6,3868378,5085,8
PART,7,4928973,266,5
PART,8,4328514,9935,31
PART,9,6507352,6658,11
PART,0,4062946,1181,9
PART,1,4045243,1439,16
PART,2,3778027,1765,19
PART,3,3670432,281,4
PART,4,6507594,1612,29
PART,5,4658865,2291,19
PART,6,3868081,5073,8
PART,7,4928433,269,5
PART,8,4327811,9936,31
PART,9,6507027,6649,11
PART,0,4062838,1181,9
PART,1,4046595,1438,16
PART,2,3779325,1775,19
PART,3,3669379,287,4
PART,4,6507108,1611,29
PART,5,4657892,2297,19
PART,6,3869108,5071,8
PART,7,4928081,268,5
PART,8,4327919,9938,31
PART,9,6507081,6648,11
PART,0,4062865,1178,9
PART,1,4051541,1401,16
PART,2,3778297,1765,19
PART,3,3669325,285,5
PART,4,6506838,1617,29
PART,5,4656919,2286,19
PART,6,3869000,5076,8
PART,7,4928973,275,5
PART,8,4327865,9938,31
PART,9,6506298,6632,11
PART,0,4062838,1182,9
PART,1,4073027,1437,16
PART,2,3778108,1759,19
PART,3,3669757,286,4
PART,4,6506784,1611,29
PART,5,4657243,2289,19
PART,6,3868919,5080,8
PART,7,4928756,269,5
PART,8,4327946,9939,31
PART,9,6507324,6624,11
PART,0,4059865,1178,9
PART,1,4047270,1396,16
PART,2,3861216,1756,19
PART,3,3669460,284,4
PART,4,6509622,1621,29
PART,5,4657135,2290,19
PART,6,3868243,5085,8
PART,7,4929054,268,5
PART,8,4327703,9939,31
PART,9,6506702,6626,11
PART,0,4061756,1174,9
PART,1,4042946,1438,16
PART,2,3776162,1745,19
PART,3,3669406,286,5
PART,4,6507108,1620,29
PART,5,4656135,2293,19
PART,6,3869351,5074,8
PART,7,4929135,270,5
PART,8,4328000,9938,31
PART,9,6505162,6627,11
PART,0,4061622,1181,9
PART,1,4056486,1438,16
PART,2,3778081,1773,19
PART,3,3669324,287,4
PART,4,6507027,1619,29
PART,5,4656054,2292,19
PART,6,3868757,5082,8
PART,7,4928325,268,5
PART,8,4327892,9937,31
PART,9,6507324,6628,11
PART,0,4067351,1173,9
PART,1,4042216,1439,16
PART,2,3777675,1766,19
PART,3,3669730,285,4
PART,4,6508054,1614,29
PART,5,4655405,2291,19
PART,6,3868730,5088,8
PART,7,4928946,268,5
PART,8,4327729,9937,31
PART,9,6505621,6629,11
PART,0,4062729,1174,9
PART,1,4045595,1433,16
PART,2,3777838,1766,19
PART,3,3670892,286,4
PART,4,6507594,1612,29
PART,5,4655352,2288,19
PART,6,3868811,5078,8
PART,7,4927892,267,5
PART,8,4328189,9937,31
PART,9,6505622,6629,11
PART,0,4062351,1179,9
PART,1,4059919,1442,16
PART,2,3780162,1767,19
PART,3,3669675,285,4
PART,4,6507460,1608,29
PART,5,4657811,2292,19
PART,6,3869081,5075,8
PART,7,4928622,269,5
PART,8,4328298,9936,31
PART,9,6506730,6628,11
PART,0,4062865,1178,9
PART,1,4061541,1436,16
PART,2,3778081,1755,19
PART,3,3669594,284,4
PART,4,6508108,1611,29
PART,5,4656541,2295,19
PART,6,3868379,5070,8
PART,7,4928243,268,5
PART,8,4328027,9936,31
PART,9,6506622,6628,11
PART,0,4062054,1176,9
PART,1,4065676,1434,16
PART,2,3778567,1769,19
PART,3,3665702,286,4
PART,4,6505891,1613,29
PART,5,4657729,2294,19
PART,6,3868756,5078,8
PART,7,4928648,268,5
PART,8,4327864,9937,31
PART,9,6506000,6625,11
PART,0,4062027,1175,9
PART,1,4046351,1435,16
PART,2,3778379,1762,19
PART,3,3669514,283,4
PART,4,6507162,1614,29
PART,5,4655432,2292,19
PART,6,3868405,5077,8
PART,7,4928756,264,5
PART,8,4328352,9936,31
PART,9,6506135,6627,11
PART,0,4060298,1178,9
PART,1,4043162,1446,16
PART,2,3778514,1741,19
PART,3,3669919,286,4
PART,4,6506244,1614,29
PART,5,4658027,2296,19
PART,6,3868513,5071,8
PART,7,4928756,265,5
PART,8,4328027,9938,31
PART,9,6506081,6607,11
PART,0,4061919,1181,9
PART,1,4042540,1444,16
PART,2,3861973,1770,19
PART,3,3670000,286,4
PART,4,6506595,1613,29
PART,5,4656433,2295,19
PART,6,3868270,5086,8
PART,7,4928297,269,5
PART,8,4328081,9938,31
PART,9,6507027,6610,11
PART,0,4061379,1183,9
PART,1,4052432,1441,16
PART,2,3863108,1759,19
PART,3,3669486,285,4
PART,4,6506784,1610,29
PART,5,4654756,2287,19
PART,6,3868351,5086,8
PART,7,4928919,269,5
PART,8,4328000,9939,31
PART,9,6506621,6608,11
PART,0,4060892,1182,9
PART,1,4042351,1442,16
PART,2,3778594,1776,19
PART,3,3672595,285,5
PART,4,6506702,1612,29
PART,5,4655352,2291,19
PART,6,3868568,5071,8
PART,7,4929216,270,5
PART,8,4327810,9936,31
PART,9,6506783,6625,11
PART,0,4061811,1177,9
PART,1,4047270,1439,16
PART,2,3862811,1760,19
PART,3,3669838,286,4
PART,4,6508054,1616,29
PART,5,4656757,2287,19
PART,6,3868108,5082,8
PART,7,4928378,268,5
PART,8,4327864,9939,31
PART,9,6506568,6611,11
PART,0,4062730,1182,9
PART,1,4048324,1440,16
PART,2,3778838,1767,19
PART,3,3665649,284,4
PART,4,6506568,1611,29
PART,5,4656351,2292,19
PART,6,3869162,5072,8
PART,7,4928837,271,5
PART,8,4327784,9938,31
PART,9,6505459,6612,11
PART,0,4062352,1179,9
PART,1,4061379,1440,16
PART,2,3862973,1770,19
PART,3,3669675,285,4
PART,4,6506459,1613,29
PART,5,4656216,2284,19
PART,6,3868919,5083,8
PART,7,4928675,268,5
PART,8,4328108,9938,31
PART,9,6506271,6610,11
PART,0,4060892,1179,9
PART,1,4042135,1445,16
PART,2,3778108,1775,19
PART,3,3665946,284,4
PART,4,6507081,1619,29
PART,5,4657243,2292,19
PART,6,3869027,5072,8
PART,7,4928784,268,5
PART,8,4327756,9938,31
PART,9,6506648,6629,11
PART,0,4061189,1180,9
PART,1,4044784,1439,16
PART,2,3777676,1751,19
PART,3,3669568,283,4
PART,4,6508000,1616,29
PART,5,4656081,2293,19
PART,6,3868811,5077,8
PART,7,4928838,268,5
PART,8,4328216,9933,31
PART,9,6505784,6627,11
PART,0,4061649,1178,9
PART,1,4057676,1446,16
PART,2,3778568,1759,19
PART,3,3669514,281,4
PART,4,6507487,1617,29
PART,5,4656729,2292,19
PART,6,3868757,5071,8
PART,7,4929162,269,5
PART,8,4328189,9936,31
PART,9,6506189,6627,11
PART,0,4063135,1176,9
PART,1,4042702,1442,16
PART,2,3778621,1751,19
PART,3,3669811,284,4
PART,4,6508486,1614,29
PART,5,4656703,2290,19
PART,6,3868135,5081,8
PART,7,4928649,267,5
PART,8,4328135,9936,31
PART,9,6507271,6629,11
PART,0,4061675,1188,9
PART,1,4046513,1446,16
PART,2,3778459,1762,19
PART,3,3670568,284,4
PART,4,6507540,1620,29
PART,5,4657162,2293,19
PART,6,3869352,5072,8
PART,7,4928919,270,5
PART,8,4328379,9935,31
PART,9,6505243,6597,11
PART,0,4061162,1200,9
PART,1,4051892,1445,16
PART,2,3778135,1763,19
PART,3,3669270,284,4
PART,4,6509540,1616,29
PART,5,4656595,2287,19
PART,6,3868703,5080,8
PART,7,4928162,269,5
PART,8,4328054,9935,31
PART,9,6504433,6577,11
PART,0,4062864,1200,9
PART,1,4060838,1434,16
PART,2,3861757,1774,19
PART,3,3669514,286,4
PART,4,6506973,1608,29
PART,5,4656703,2295,19
PART,6,3868351,5085,8
PART,7,4928811,269,5
PART,8,4327973,9936,31
PART,9,6506352,6568,11
PART,0,4063676,1194,9
PART,1,4059540,1448,16
PART,2,3862973,1763,19
PART,3,3669702,284,4
PART,4,6506486,1620,29
PART,5,4657459,2292,19
PART,6,3869054,5073,8
PART,7,4928702,268,5
PART,8,4327703,9939,31
PART,9,6505703,6577,11
PART,0,4061621,1195,9
PART,1,4052297,1423,16
PART,2,3778405,1755,19
PART,3,3670243,284,4
PART,4,6506460,1617,29
PART,5,4655352,2288,19
PART,6,3868540,5081,8
PART,7,4928865,269,5
PART,8,4328055,9939,31
PART,9,6505784,6577,11
PART,0,4063108,1190,9
PART,1,4046162,1439,16
PART,2,3862405,1743,19
PART,3,3670244,286,4
PART,4,6506730,1614,29
PART,5,4657676,2296,19
PART,6,3868432,5071,8
PART,7,4928568,268,5
PART,8,4328108,9939,31
PART,9,6504784,6578,11
PART,0,4062162,1193,9
PART,1,4044676,1442,16
PART,2,3778946,1763,19
PART,3,3665568,286,4
PART,4,6510324,1620,29
PART,5,4655648,2291,19
PART,6,3868352,5083,8
PART,7,4928541,269,5
PART,8,4328270,9939,31
PART,9,6506352,6588,11
PART,0,4061838,1193,9
PART,1,4045595,1440,16
PART,2,3777567,1762,19
PART,3,3665000,289,4
PART,4,6507649,1610,29
PART,5,4657108,2294,19
PART,6,3868675,5073,8
PART,7,4928892,269,5
PART,8,4328243,9939,31
PART,9,6506892,6618,11
PART,0,4063162,1196,9
PART,1,4043460,1453,16
PART,2,3863675,1774,19
PART,3,3669973,285,4
PART,4,6506702,1616,29
PART,5,4659243,2293,19
PART,6,3869189,5078,8
PART,7,4928433,269,5
PART,8,4327811,9937,31
PART,9,6505217,6608,11
PART,0,4062324,1193,9
PART,1,4064433,1413,16
PART,2,3779594,1773,19
PART,3,3669648,285,4
PART,4,6508865,1612,29
PART,5,4654892,2287,19
PART,6,3868487,5080,8
PART,7,4928837,269,5
PART,8,4328081,9940,31
PART,9,6506595,6609,11
PART,0,4062297,1191,9
PART,1,4059919,1449,16
